rank,team,overall_coach_dna_score,score_tier,scored_situations,tendency_signal_score_avg,efficiency_signal_score_avg,explosiveness_signal_score_avg,stability_signal_score_avg,sample_reliability_score_avg,top_signal_context,top_signal_situation,top_signal_field_zone,top_signal_score,lowest_signal_context,lowest_signal_situation,lowest_signal_field_zone,lowest_signal_score
13,PHI,45.2138,moderate_signal,45,52.7897,50.9003,52.8124,56.7988,71.8639,trailing_early_down | own_territory,trailing_early_down,own_territory,80.1172,short_yardage | backed_up,short_yardage,backed_up,18.7843
14,GB,45.0021,moderate_signal,44,42.6198,60.8803,65.198,53.8024,72.9412,leading_one_score | fringe,leading_one_score,fringe,65.1586,two_minute_game | own_territory,two_minute_game,own_territory,15.0117
15,IND,44.4739,moderate_signal,45,43.8259,62.7079,56.4055,50.3665,73.0946,leading_early_down | fringe,leading_early_down,fringe,63.4008,two_minute_game | fringe,two_minute_game,fringe,13.5625
16,JAX,44.378,moderate_signal,44,47.3177,56.0277,56.6571,59.3191,72.0821,neutral_early_down | fringe,neutral_early_down,fringe,65.5078,tied_early_down | backed_up,tied_early_down,backed_up,17.791
17,ATL,44.3018,moderate_signal,45,49.47,50.3672,54.114,63.3936,73.5813,trailing_early_down | own_territory,trailing_early_down,own_territory,74.8047,fourth_down | fringe,fourth_down,fringe,17.2051
18,DAL,44.1398,moderate_signal,46,43.2549,62.0584,56.0189,57.2419,72.3803,two_minute_half | fringe,two_minute_half,fringe,61.0957,two_minute_game | red_zone,two_minute_game,red_zone,14.6815
19,MIA,42.6222,moderate_signal,46,48.1395,53.39,54.1401,51.028,68.4922,neutral_early_down | fringe,neutral_early_down,fringe,70.7031,two_minute_game | fringe,two_minute_game,fringe,13.0342
20,ARI,41.2579,moderate_signal,46,51.8491,45.3254,48.584,45.5868,70.6065,trailing_early_down | red_zone,trailing_early_down,red_zone,65.9672,short_yardage | backed_up,short_yardage,backed_up,14.5302
21,TB,40.917,moderate_signal,45,43.2342,49.0508,46.0714,56.7684,74.7653,trailing_one_score | fringe,trailing_one_score,fringe,59.4141,fourth_down | fringe,fourth_down,fringe,11.5508
22,DEN,40.0201,moderate_signal,45,39.5102,50.1554,50.1454,69.7213,72.9441,trailing_early_down | red_zone,trailing_early_down,red_zone,64.9477,short_yardage | backed_up,short_yardage,backed_up,16.8488
23,CAR,39.8156,developing_signal,45,50.9468,41.6961,42.6072,51.5844,72.0006,neutral_early_down | own_territory,neutral_early_down,own_territory,60.8594,leading_early_down | red_zone,leading_early_down,red_zone,14.9004
24,MIN,39.616,developing_signal,45,50.7574,43.6704,53.7345,31.8954,69.9167,neutral_early_down | fringe,neutral_early_down,fringe,58.3984,fourth_down | own_territory,fourth_down,own_territory,13.7238
25,HOU,39.5336,developing_signal,45,45.3997,40.5529,43.2687,61.9362,73.4961,trailing_early_down | own_territory,trailing_early_down,own_territory,66.4844,goal_line | red_zone,goal_line,red_zone,16.0078
26,NO,39.4741,developing_signal,45,52.8836,39.3238,41.5848,44.9186,71.1295,red_zone | red_zone,red_zone,red_zone,60.1313,goal_line | red_zone,goal_line,red_zone,14.793
27,LAC,38.705,developing_signal,45,42.9107,47.6455,45.2539,40.1257,74.3923,trailing_early_down | fringe,trailing_early_down,fringe,63.125,goal_line | red_zone,goal_line,red_zone,16.5703
28,PIT,37.9531,developing_signal,44,37.1086,52.7544,43.6141,57.7443,73.079,leading_early_down | own_territory,leading_early_down,own_territory,58.3984,tied_early_down | backed_up,tied_early_down,backed_up,17.293
29,NYJ,36.3375,developing_signal,46,53.6502,33.8928,35.9596,40.7223,68.3205,tied_early_down | own_territory,tied_early_down,own_territory,60.9223,two_minute_game | own_territory,two_minute_game,own_territory,15.5254
30,TEN,35.678,developing_signal,46,47.4456,34.8692,37.5952,49.2146,70.2733,leading_one_score | own_territory,leading_one_score,own_territory,55.0512,two_minute_half | backed_up,two_minute_half,backed_up,14.7218
31,LV,32.989,developing_signal,46,46.0551,33.1972,38.6016,37.8637,68.643,trailing_early_down | red_zone,trailing_early_down,red_zone,55.7367,tied_early_down | red_zone,tied_early_down,red_zone,15.1934
32,CLE,32.43,developing_signal,45,40.7636,28.1559,37.6436,47.6155,72.2671,tied_early_down | fringe,tied_early_down,fringe,51.1934,trailing_one_score | backed_up,trailing_one_score,backed_up,11.5996
