profile_season,team,scored_situations,overall_coach_dna_score,tendency_signal_score_avg,efficiency_signal_score_avg,explosiveness_signal_score_avg,stability_signal_score_avg,sample_reliability_score_avg,top_signal_situation,top_signal_field_zone,top_signal_context,top_signal_score,lowest_signal_situation,lowest_signal_field_zone,lowest_signal_context,lowest_signal_score
2025,DAL,46,44.1398,43.2549,62.0584,56.0189,57.2419,72.3803,two_minute_half,fringe,two_minute_half | fringe,61.0957,two_minute_game,red_zone,two_minute_game | red_zone,14.6815
2025,MIA,46,42.6222,48.1395,53.39,54.1401,51.028,68.4922,neutral_early_down,fringe,neutral_early_down | fringe,70.7031,two_minute_game,fringe,two_minute_game | fringe,13.0342
2025,ARI,46,41.2579,51.8491,45.3254,48.584,45.5868,70.6065,trailing_early_down,red_zone,trailing_early_down | red_zone,65.9672,short_yardage,backed_up,short_yardage | backed_up,14.5302
2025,TB,45,40.917,43.2342,49.0508,46.0714,56.7684,74.7653,trailing_one_score,fringe,trailing_one_score | fringe,59.4141,fourth_down,fringe,fourth_down | fringe,11.5508
2025,DEN,45,40.0201,39.5102,50.1554,50.1454,69.7213,72.9441,trailing_early_down,red_zone,trailing_early_down | red_zone,64.9477,short_yardage,backed_up,short_yardage | backed_up,16.8488
2025,CAR,45,39.8156,50.9468,41.6961,42.6072,51.5844,72.0006,neutral_early_down,own_territory,neutral_early_down | own_territory,60.8594,leading_early_down,red_zone,leading_early_down | red_zone,14.9004
2025,MIN,45,39.616,50.7574,43.6704,53.7345,31.8954,69.9167,neutral_early_down,fringe,neutral_early_down | fringe,58.3984,fourth_down,own_territory,fourth_down | own_territory,13.7238
2025,HOU,45,39.5336,45.3997,40.5529,43.2687,61.9362,73.4961,trailing_early_down,own_territory,trailing_early_down | own_territory,66.4844,goal_line,red_zone,goal_line | red_zone,16.0078
2025,NO,45,39.4741,52.8836,39.3238,41.5848,44.9186,71.1295,red_zone,red_zone,red_zone | red_zone,60.1313,goal_line,red_zone,goal_line | red_zone,14.793
2025,LAC,45,38.705,42.9107,47.6455,45.2539,40.1257,74.3923,trailing_early_down,fringe,trailing_early_down | fringe,63.125,goal_line,red_zone,goal_line | red_zone,16.5703
2025,PIT,44,37.9531,37.1086,52.7544,43.6141,57.7443,73.079,leading_early_down,own_territory,leading_early_down | own_territory,58.3984,tied_early_down,backed_up,tied_early_down | backed_up,17.293
2025,NYJ,46,36.3375,53.6502,33.8928,35.9596,40.7223,68.3205,tied_early_down,own_territory,tied_early_down | own_territory,60.9223,two_minute_game,own_territory,two_minute_game | own_territory,15.5254
2025,TEN,46,35.678,47.4456,34.8692,37.5952,49.2146,70.2733,leading_one_score,own_territory,leading_one_score | own_territory,55.0512,two_minute_half,backed_up,two_minute_half | backed_up,14.7218
2025,LV,46,32.989,46.0551,33.1972,38.6016,37.8637,68.643,trailing_early_down,red_zone,trailing_early_down | red_zone,55.7367,tied_early_down,red_zone,tied_early_down | red_zone,15.1934
2025,CLE,45,32.43,40.7636,28.1559,37.6436,47.6155,72.2671,tied_early_down,fringe,tied_early_down | fringe,51.1934,trailing_one_score,backed_up,trailing_one_score | backed_up,11.5996
